From_CO,FromSt,To_CO,To_ST,Line, LN, R,X
AEP,18THSTHT,AEP,ELIVE2ND,18T-ELIV,1,9.6000004, 1.64
AEP,BUCKLEYR,AEP,WALLENDA,BUC-WAL,1,3, 1.22
AEP,ISABELLA,AEP,NNEWARK,ISA-NNEW,1,4.1170001, 1.141
AEP,MEIGS31,AEP,RUTLAND2,MEI-RUTL,1,0.92000002, 0.30000001
ALTW,BOSWRTH,ALTW,MNTG,BOSWRMNTG69_1,1,9.6999998, 2.96
ALTW,DELANEY1,ALTW,DELNYPK1,DELANDELNY69_1,1,0.1, 0.0099999998
CE,H440ESS,CE,H440N,H440,1,0.059999999, 0.026000001
CIN,WABASH_J,CIN,WBSHCONT,PSI_6986F,1,8.9499998, 2.8929999
CONS,BLISJ,CONS,BLISS,BLISJBLISS46,1,5.4239998, 2.201
CONS,SCNLK,CONS,SCNLJ,SCNLJSCNLK13_1,1,0.059999999, 0.016000001
CONS,WEDMJ,CONS,WEDMN,WEDMJWEDMN46,1,87.459999, 36.445
DECO,ELMERTEC,DECO,WATER1,ELMERTECWATER1,1,87.900002, 34.400002
DECO,WATER1,DECO,WATERTEC,WATERWATERTEC1,1,51.299999, 19.699999
DEOK,MOSTELER,DEOK,TP3861,MOS-TP38,1,0.40000001, 0.13
DPC,FREDERIC,DPC,COFFECUP,FREDECOFFE69_1,1,5.5700002, 2.72
EAI,SEDWKX,EAI,T_E_7,SEDWKX_T_E_7_3,A,11.46, 4.1499996
EAI,T_E_4,EAI,T_E_4X,T_E_4__T_E_4X3,A,29.629999, 11.043001
EAI,T_E_F,EAI,T_E_FX,T_E_F__T_E_FX3,A,15.634, 5.8269997
EAI,TXPSG,EAI,T_E_GX,T_E_G__T_E_GX3,A,8.4899998, 3.1700003
EDE,WEB4362,EDE,CAR108,11410,A,11.17, 1.71
FE,BAIRDRD,FE,OBERLIN2,BAI-OBER,1,38.299999, 10.62
FE,BOARDMAN,FE,WIKLIF2,BOA-WICK,1,33.799999, 4.9099998
GRE,ISLE,GRE,ONAMIA,ISLEONAMI69_1,1,8.0452003, 1.4995
NIPS,CATHAY_P,NIPS,CATHAY_P,6950,D,0.02, 0.0099999998
NIPS,MCGILL_2,NIPS,MCGILL_2,6956_NIPS,B,0.69999999, 0.34
NIPS,POWDRPRC,NIPS,POWDRPRC,6950,F,0.02, 0.0099999998
NIPS,PREGIS_1,NIPS,HOOSRTR2,6921_NIPS,G,0.02, 0.0099999998
NIPS,WALKER2,NIPS,WALKER2,6938_NIPS,B,0.02, 0.0099999998
NPPD,COLCOGEN,NPPD,COLMBSDG,NP_1095,A,1.27, 0.58999997
NSP,BIGRO,NSP,MONROCO,MONROBIGRO69_1,1,37.780998, 12.5889
NSP,MOONLAKE,NSP,S_RIDGE,MOONLS_RID69_1,1,17.639999, 4.1300001
NSP,W_FARIB,NSP,S_FARIB,W_FARS_FAR11_1,1,9.9999997e-05, 9.9999997e-06
PJMC,BRANDONS,PJMC,HAWKS_PT,BRA-HAW4,1,0.17299999, 0.017999999
PJMC,DONNELLE,PJMC,DILLERVI,DON-DIL1,1,0.17, 0.066
PJMC,DONNELLE,PJMC,DILLERVI,DON-DIL2,1,0.17, 0.066
PJMC,MADISNPS,PJMC,UNIONCT1,MAD-UNCT,1,6.5999999, 3.23
SECI,BVRVALLE,WR,ATWOOD,9983,A,0.20739999, 0.08066
SIGE,SIG_SLAT,SIGE,CULLEY,SLATCULLE69_1,1,5.8660002, 1.8744
SPS,TEX_FARM,SPS,SPEARMA2,SPEARTXFARM_1,1,2.562, 1.008
TVA,5KINGCTP,TVA,5KINGS1B,KINGT_KNGS1B,1,0.60000002, 0.19
WAUE,SPNCR_E,WAUE,SP_E_JCT,SP_E_SP_E_JCT,A,0.18700001, 0.0491
WFEC,SLP_BEAR,WFEC,FTSUPL1,SLEEPING_BEAR,A,0.93000001, 0.44
WR,EXIDJ,WR,BERG3,EXIDEJ_BERG,A,0.26300001, 0.081
VAP,HAWTREE,VAP,KERRDAM,HAW-KERR,1,0.69999999, 0.30000001
VAP,ETNFERDP,VAP,HAWTREE,ETN-HAWT,1,0.69999999, 0.30000001
VAP,WASHNTDP,VAP,WHARTON4,82B2,1,0.090000004, 0.0099999998
EES,MONTPS,EES,LCR230,MONTPS_STG1C6,1,0.07, 0.0080000004
AMMO,CMCOTP,AMMO,GALENAUE,GALENCMCOT16_1,A,41, 0.0153
MEC,HOLLIFHC,MEC,WEBSTER2,HOLLIWEBST16_1,1,0.458, 0.1472
